State,TypeCode,CECPlantID,EIAPlantID,Unit,LastOfCapacity,Aging,OTC,Peaker,PMCC,NewCombinedCycleUnit,CombinedCycle,StartDate,MaxOfRetireDate,PrimeMoverID,PrimeMoverDesc,PriEnergySource,Description
CA,E,E0120,10390,Unit 2,0.5,0,0,0,0,0,0,4/1/1984 0:00,12/6/2013 0:00,IC,"Internal Combustion Engine (diesel, piston)",LFG,Landfill Gas
CA,E,E0120,10390,Unit 3,0.5,0,0,0,0,0,0,4/1/1984 0:00,8/12/2013 0:00,IC,"Internal Combustion Engine (diesel, piston)",LFG,Landfill Gas
CA,E,E0120,10390,Unit 4,1,0,0,0,0,0,0,12/1/1987 0:00,1/1/2013 0:00,IC,"Internal Combustion Engine (diesel, piston)",LFG,Landfill Gas
CA,E,E0122,10389,1,1.1,0,0,0,0,0,0,12/1/1989 0:00,6/23/2010 0:00,IC,"Internal Combustion Engine (diesel, piston)",LFG,Landfill Gas
CA,E,E0122,10389,2,1.1,0,0,0,0,0,0,12/1/1989 0:00,6/23/2010 0:00,IC,"Internal Combustion Engine (diesel, piston)",LFG,Landfill Gas
CA,E,E0122,10389,3,1.1,0,0,0,0,0,0,12/1/1989 0:00,6/23/2010 0:00,IC,"Internal Combustion Engine (diesel, piston)",LFG,Landfill Gas
CA,E,E0123,10391,Unit 1,0.5,0,0,0,0,0,0,12/1/1983 0:00,1/1/2013 0:00,IC,"Internal Combustion Engine (diesel, piston)",LFG,Landfill Gas
CA,E,E0123,10391,Unit 2,0.5,0,0,0,0,0,0,12/1/1983 0:00,1/1/2013 0:00,IC,"Internal Combustion Engine (diesel, piston)",LFG,Landfill Gas
CA,E,E0123,10391,Unit 3,0.5,0,0,0,0,0,0,12/1/1983 0:00,1/1/2013 0:00,IC,"Internal Combustion Engine (diesel, piston)",LFG,Landfill Gas
CA,E,E0123,10391,Unit 4,0.5,0,0,0,0,0,0,12/1/1983 0:00,11/26/2013 0:00,IC,"Internal Combustion Engine (diesel, piston)",LFG,Landfill Gas
CA,E,E0125,52206,1,1.85,0,0,0,0,0,0,12/1/1985 0:00,12/17/2009 0:00,IC,"Internal Combustion Engine (diesel, piston)",LFG,Landfill Gas
CA,E,E0125,52206,2,1.85,0,0,0,0,0,0,12/1/1985 0:00,12/17/2009 0:00,IC,"Internal Combustion Engine (diesel, piston)",LFG,Landfill Gas
CA,E,E0125,52206,3,1.85,0,0,0,0,0,0,12/1/1985 0:00,12/17/2009 0:00,IC,"Internal Combustion Engine (diesel, piston)",LFG,Landfill Gas
CA,E,E0127,10472,GEN 1,50,0,0,0,0,0,0,6/1/2017 0:00,,ST,Steam Turbine,LFG,Landfill Gas
